image,psnr,ssim,lpips,niqe
result_0.png,26.478300094604492,0.8967769145965576,0.0702800378203392,4.772523651100028
result_1.png,29.435155868530273,0.9116390943527222,0.09719793498516083,4.495577740159872
result_2.png,27.13899803161621,0.8907666802406311,0.0841342955827713,4.803329092969085
result_3.png,21.021129608154297,0.8021739721298218,0.14323239028453827,3.0064153863324443
result_4.png,28.831899642944336,0.8839395642280579,0.11534784734249115,3.3853660570758897
result_5.png,25.862293243408203,0.8290673494338989,0.20362640917301178,3.6922592017665408
result_6.png,19.73695945739746,0.5741471648216248,0.2713037431240082,2.954930531919287
result_7.png,25.466800689697266,0.8650937676429749,0.13095304369926453,3.510596202620205
result_8.png,23.5885009765625,0.8508001565933228,0.17117218673229218,4.353168486893562
result_9.png,26.1259822845459,0.8068861365318298,0.23363591730594635,3.844645847520898
result_10.png,26.46951675415039,0.8709850907325745,0.11946674436330795,3.3187700685623627
result_11.png,28.20286750793457,0.8920140862464905,0.08979789167642593,3.6610058908037275
result_12.png,23.09278678894043,0.760000467300415,0.18580639362335205,3.0123630262415118
result_13.png,22.307697296142578,0.7680557370185852,0.1432328075170517,4.976754966407579
result_14.png,32.19878387451172,0.915903627872467,0.059461358934640884,5.389598960100966
PROMEDIO,25.730511474609376,0.8345499873161316,0.1412432668109735,3.9451536740315976
